timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715180995059,2,Home (HTTP Request)-1,200,OK,Thread Group 1-11,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995102,6,Home (HTTP Request),200,OK,Thread Group 1-8,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,4,0,0
1715180995102,4,Home (HTTP Request)-0,302,Found,Thread Group 1-8,,true,,146,195,25,25,http://localhost:8080/jpetstore,4,0,0
1715180995106,2,Home (HTTP Request)-1,200,OK,Thread Group 1-8,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1715180995129,5,Home (HTTP Request),200,OK,Thread Group 1-12,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995129,2,Home (HTTP Request)-0,302,Found,Thread Group 1-12,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1715180995131,3,Home (HTTP Request)-1,200,OK,Thread Group 1-12,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995138,5,Home (HTTP Request),200,OK,Thread Group 1-13,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1715180995138,1,Home (HTTP Request)-0,302,Found,Thread Group 1-13,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1715180995140,3,Home (HTTP Request)-1,200,OK,Thread Group 1-13,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180995151,4,Home (HTTP Request),200,OK,Thread Group 1-10,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995151,2,Home (HTTP Request)-0,302,Found,Thread Group 1-10,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1715180995153,2,Home (HTTP Request)-1,200,OK,Thread Group 1-10,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995223,5,Home (HTTP Request),200,OK,Thread Group 1-15,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180995223,3,Home (HTTP Request)-0,302,Found,Thread Group 1-15,,true,,146,195,25,25,http://localhost:8080/jpetstore,3,0,0
1715180995226,2,Home (HTTP Request)-1,200,OK,Thread Group 1-15,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995387,5,Home (HTTP Request),200,OK,Thread Group 1-18,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180995387,3,Home (HTTP Request)-0,302,Found,Thread Group 1-18,,true,,146,195,25,25,http://localhost:8080/jpetstore,3,0,0
1715180995390,2,Home (HTTP Request)-1,200,OK,Thread Group 1-18,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995396,4,Home (HTTP Request),200,OK,Thread Group 1-14,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995396,2,Home (HTTP Request)-0,302,Found,Thread Group 1-14,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1715180995398,2,Home (HTTP Request)-1,200,OK,Thread Group 1-14,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995416,4,Home (HTTP Request),200,OK,Thread Group 1-16,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995416,2,Home (HTTP Request)-0,302,Found,Thread Group 1-16,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1715180995418,2,Home (HTTP Request)-1,200,OK,Thread Group 1-16,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995453,5,Home (HTTP Request),200,OK,Thread Group 1-19,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995453,2,Home (HTTP Request)-0,302,Found,Thread Group 1-19,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1715180995455,3,Home (HTTP Request)-1,200,OK,Thread Group 1-19,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180995509,5,Home (HTTP Request),200,OK,Thread Group 1-17,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180995509,3,Home (HTTP Request)-0,302,Found,Thread Group 1-17,,true,,146,195,25,25,http://localhost:8080/jpetstore,3,0,0
1715180995512,2,Home (HTTP Request)-1,200,OK,Thread Group 1-17,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995580,5,Home (HTTP Request),200,OK,Thread Group 1-22,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995580,2,Home (HTTP Request)-0,302,Found,Thread Group 1-22,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1715180995582,3,Home (HTTP Request)-1,200,OK,Thread Group 1-22,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995664,4,Home (HTTP Request),200,OK,Thread Group 1-21,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995664,2,Home (HTTP Request)-0,302,Found,Thread Group 1-21,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
1715180995666,2,Home (HTTP Request)-1,200,OK,Thread Group 1-21,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995700,4,Home (HTTP Request),200,OK,Thread Group 1-23,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1715180995700,1,Home (HTTP Request)-0,302,Found,Thread Group 1-23,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1715180995702,2,Home (HTTP Request)-1,200,OK,Thread Group 1-23,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995748,6,Home (HTTP Request),200,OK,Thread Group 1-24,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995748,2,Home (HTTP Request)-0,302,Found,Thread Group 1-24,,true,,146,195,25,25,http://localhost:8080/jpetstore,2,0,0
